1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2400 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Credibility Interval: ± ,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E
18-34,29%,29%,29%,100%,0%,0%,0%,55%,0%,29%,**,29%,27%,**,**,29%,31%,28%,25%,33%,28%,29%,30%,31%,24%,25%,25%,27%,31%,21%,24%,30%,28%,32%,22%,22%,41%,29%,23%,36%,31%,21%,54%,18%,5%,34%,26%,45%,27%,17%,26%,32%,35%,23%,28%,29%,23%,29%,26%,29%,28%,29%,27%,27%,28%,43%,27%,33%,25%,33%,24%,26%,34%,27%,26%,29%
35-49,24%,24%,23%,0%,100%,0%,0%,45%,0%,25%,**,21%,26%,**,**,30%,23%,23%,23%,24%,24%,30%,26%,24%,20%,24%,23%,23%,24%,21%,21%,25%,24%,27%,22%,23%,18%,23%,26%,19%,24%,27%,21%,28%,17%,46%,15%,38%,22%,19%,25%,25%,25%,22%,24%,24%,25%,23%,23%,23%,25%,26%,24%,17%,25%,22%,24%,29%,21%,19%,20%,21%,24%,22%,24%,24%
50-64,25%,25%,25%,0%,0%,100%,0%,0%,52%,24%,**,28%,24%,**,**,26%,27%,24%,23%,25%,26%,32%,26%,24%,27%,18%,27%,25%,24%,24%,26%,25%,25%,24%,28%,27%,22%,29%,23%,23%,24%,28%,19%,28%,31%,17%,28%,15%,26%,29%,26%,23%,23%,25%,27%,25%,28%,25%,25%,26%,24%,28%,25%,22%,26%,24%,25%,20%,28%,25%,29%,28%,26%,26%,25%,21%
65+,23%,23%,23%,0%,0%,0%,100%,0%,48%,23%,**,23%,23%,**,**,15%,20%,24%,29%,18%,22%,9%,18%,21%,29%,32%,25%,24%,21%,33%,28%,20%,23%,17%,27%,27%,19%,19%,28%,23%,22%,24%,7%,26%,47%,2%,31%,2%,25%,35%,23%,21%,17%,30%,21%,22%,23%,23%,26%,23%,23%,17%,24%,34%,21%,11%,24%,17%,26%,23%,27%,25%,15%,25%,24%,26%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Composition of Adults,100%,48%,52%,29%,24%,25%,23%,52%,48%,60%,4%,26%,7%,1%,1%,7%,29%,44%,18%,14%,28%,8%,25%,27%,28%,10%,29%,41%,21%,8%,20%,37%,20%,9%,29%,39%,20%,36%,44%,31%,33%,36%,37%,45%,18%,29%,71%,9%,91%,19%,27%,18%,35%,18%,29%,50%,21%,73%,23%,42%,30%,16%,81%,19%,80%,12%,86%,34%,53%,13%,25%,28%,23%,37%,23%,17%
