1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2400 Registered Voters,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
Central Valley,23%,20%,26%,27%,24%,24%,16%,26%,20%,26%,**,19%,15%,**,**,31%,27%,21%,16%,36%,24%,32%,24%,27%,19%,15%,27%,18%,24%,29%,28%,23%,16%,18%,27%,17%,31%,29%,15%,30%,23%,17%,24%,22%,24%,27%,21%,33%,22%,29%,19%,23%,23%,21%,24%,24%,28%,21%,25%,19%,26%,27%,22%,25%,22%,21%,23%,16%,20%,56%,18%,21%,100%,0%,0%,0%
Greater L.A.,37%,41%,33%,34%,35%,39%,40%,35%,40%,34%,**,44%,38%,**,**,33%,36%,37%,42%,31%,33%,30%,37%,34%,38%,44%,35%,40%,35%,33%,33%,36%,42%,41%,34%,41%,33%,33%,42%,32%,41%,38%,39%,37%,34%,34%,38%,32%,37%,36%,40%,43%,33%,43%,39%,34%,38%,38%,36%,40%,35%,32%,38%,35%,37%,35%,37%,45%,38%,11%,41%,35%,0%,100%,0%,0%
Inland Empire,23%,22%,24%,21%,24%,23%,25%,22%,24%,23%,**,28%,11%,**,**,23%,23%,26%,18%,21%,26%,25%,27%,24%,21%,20%,24%,24%,21%,29%,21%,23%,22%,23%,24%,22%,27%,24%,21%,29%,23%,18%,22%,23%,24%,23%,23%,25%,23%,20%,26%,19%,24%,23%,20%,24%,25%,23%,29%,22%,20%,18%,24%,24%,23%,27%,23%,18%,26%,25%,27%,26%,0%,0%,100%,0%
Bay Area/Northern Coast,17%,17%,17%,17%,18%,14%,19%,17%,17%,17%,**,9%,37%,**,**,13%,14%,16%,25%,12%,17%,14%,12%,16%,21%,22%,14%,18%,20%,9%,18%,17%,21%,18%,14%,20%,10%,15%,22%,10%,13%,26%,15%,18%,18%,15%,18%,10%,18%,16%,15%,15%,20%,14%,17%,18%,9%,19%,11%,19%,19%,23%,16%,15%,18%,16%,17%,21%,16%,8%,14%,18%,0%,0%,0%,100%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Composition of Registered Voters,100%,48%,52%,29%,24%,25%,23%,52%,48%,60%,4%,26%,7%,1%,1%,7%,29%,44%,18%,14%,28%,8%,25%,27%,28%,10%,29%,41%,21%,8%,20%,37%,20%,9%,29%,39%,20%,36%,44%,31%,33%,36%,37%,45%,18%,29%,71%,9%,91%,19%,27%,18%,35%,18%,29%,50%,21%,73%,23%,42%,30%,16%,81%,19%,80%,12%,86%,34%,53%,13%,25%,28%,23%,37%,23%,17%
