1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
4800 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Poor,10%,9%,12%,10%,11%,11%,8%,11%,10%,10%,12%,8%,**,**,**,100%,0%,0%,0%,0%,0%,31%,19%,4%,1%,1%,6%,10%,11%,11%,7%,9%,8%,14%,7%,8%,18%,11%,4%,23%,3%,0%,13%,6%,15%,9%,11%,14%,10%,8%,6%,13%,13%,7%,9%,12%,10%,10%,11%,9%,9%,5%,11%,7%,11%,14%,10%,12%,7%,13%,6%,9%,10%,12%,10%,9%
Working Class,35%,36%,35%,38%,37%,37%,27%,37%,33%,35%,39%,38%,**,**,**,0%,100%,0%,0%,100%,0%,46%,51%,38%,18%,11%,35%,35%,35%,33%,36%,36%,35%,31%,35%,33%,45%,42%,21%,48%,37%,12%,38%,32%,39%,38%,34%,48%,34%,36%,29%,38%,38%,31%,36%,37%,38%,34%,36%,35%,36%,34%,36%,32%,36%,38%,35%,39%,30%,42%,31%,30%,33%,35%,36%,36%
Middle Class,43%,42%,43%,40%,40%,42%,50%,40%,46%,43%,40%,42%,**,**,**,0%,0%,100%,0%,0%,100%,18%,26%,52%,62%,43%,45%,44%,43%,42%,47%,45%,41%,38%,45%,46%,31%,40%,54%,26%,53%,57%,39%,48%,37%,42%,43%,33%,44%,45%,49%,38%,38%,47%,44%,40%,42%,43%,43%,44%,43%,48%,42%,48%,41%,38%,43%,36%,50%,37%,50%,49%,44%,42%,43%,42%
Upper-Middle,10%,10%,9%,9%,10%,8%,13%,9%,10%,10%,6%,9%,**,**,**,0%,0%,0%,94%,0%,0%,3%,2%,4%,18%,39%,12%,9%,9%,10%,9%,9%,14%,14%,12%,11%,3%,6%,19%,1%,7%,28%,7%,13%,6%,9%,10%,3%,10%,11%,13%,9%,7%,13%,10%,9%,8%,10%,9%,11%,10%,11%,10%,11%,10%,8%,10%,10%,11%,6%,12%,11%,11%,9%,9%,10%
Rich,1%,1%,0%,1%,1%,0%,0%,1%,0%,1%,0%,1%,**,**,**,0%,0%,0%,6%,0%,0%,0%,0%,0%,0%,5%,1%,0%,1%,3%,0%,0%,0%,1%,1%,0%,0%,0%,1%,0%,0%,2%,1%,1%,1%,1%,0%,0%,1%,1%,1%,1%,1%,1%,1%,0%,1%,1%,1%,0%,1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,1%,0%,1%,0%,1%,1%
Not Sure,1%,1%,2%,2%,1%,1%,1%,2%,1%,1%,3%,1%,**,**,**,0%,0%,0%,0%,0%,0%,1%,1%,1%,0%,1%,1%,1%,2%,1%,1%,1%,1%,2%,1%,1%,3%,1%,1%,3%,1%,1%,2%,1%,2%,1%,2%,1%,1%,1%,1%,1%,3%,1%,1%,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,1%,1%,1%,2%,1%,2%,1%,1%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
