,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
High School,20,21,18,28,15,17,16,22,17,18,**,28,10,**,**,35,30,14,6,30,13,24,29,19,12,11,17,17,21,19,20,21,14,11,15,13,100,0,0,34,19,8,26,15,18,20,20,34,18,14,24,19,20,17,19,20,23,18,21,14,22,18,19,19,19,20,20,19,18,27,21,16,26,17,23,11
Some College,36,34,39,38,36,42,30,37,36,35,**,40,30,**,**,48,45,35,22,43,37,48,40,41,34,20,39,36,35,40,40,35,35,31,40,33,0,100,0,46,40,25,39,34,38,34,37,40,36,42,32,34,38,33,39,37,40,35,39,37,34,38,37,41,35,44,36,33,37,45,35,38,45,32,37,32
4-year College Degree,44,45,43,35,49,41,53,41,47,47,**,33,60,**,**,17,25,50,72,27,51,28,30,40,54,69,44,48,44,41,40,44,51,58,45,54,0,0,100,20,41,67,35,51,44,46,43,26,46,44,44,47,42,49,42,44,37,47,40,49,43,44,44,40,45,36,45,48,45,28,44,45,28,50,40,57
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Adults,100,48,52,29,24,25,23,52,48,60,4,26,7,1,1,7,29,44,18,14,28,8,25,27,28,10,29,41,21,8,20,37,20,9,29,39,20,36,44,31,33,36,37,45,18,29,71,9,91,19,27,18,35,18,29,50,21,73,23,42,30,16,81,19,80,12,86,34,53,13,25,28,23,37,23,17
