,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
Strongly Pro-life,23,24,21,20,22,23,26,21,24,23,**,27,19,**,**,18,24,25,19,25,24,20,21,23,26,24,42,12,19,58,42,15,8,9,42,10,24,24,21,23,25,20,16,29,20,28,21,25,23,40,26,22,11,57,23,11,53,15,100,0,0,24,23,25,23,16,24,23,22,27,23,21,25,22,29,14
Strongly Pro-choice,42,37,47,42,41,44,42,41,43,45,**,35,42,**,**,44,39,41,48,41,45,47,46,42,40,41,23,61,39,14,24,39,70,78,22,63,30,43,47,37,40,48,47,39,42,37,44,38,43,29,35,44,54,15,36,56,19,51,0,100,0,42,42,38,43,58,40,45,43,33,39,46,35,45,39,48
In The Middle,30,33,27,30,31,29,30,30,30,29,**,32,35,**,**,27,31,30,29,29,28,27,27,30,32,31,32,25,37,22,30,41,19,12,33,25,34,28,30,32,30,28,30,28,34,30,30,32,30,29,33,30,28,25,36,29,24,31,0,0,100,30,30,32,30,22,31,27,32,30,35,29,34,28,27,33
Not Sure,5,5,5,8,6,5,1,7,3,4,**,6,5,**,**,11,6,3,3,5,3,5,6,5,3,3,4,2,6,5,4,5,3,1,4,2,11,4,3,7,5,3,7,4,3,5,5,5,5,2,6,4,6,4,5,4,5,4,0,0,0,4,5,4,5,5,5,6,3,10,3,3,6,4,5,5
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Adults,100,48,52,29,24,25,23,52,48,60,4,26,7,1,1,7,29,44,18,14,28,8,25,27,28,10,29,41,21,8,20,37,20,9,29,39,20,36,44,31,33,36,37,45,18,29,71,9,91,19,27,18,35,18,29,50,21,73,23,42,30,16,81,19,80,12,86,34,53,13,25,28,23,37,23,17
