,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Trump,1555,896,659,337,389,469,360,726,829,1266,30,153,50,26,30,103,546,700,197,448,573,124,359,431,454,174,1084,100,321,352,625,463,54,14,1555,0,393,598,563,510,580,464,371,898,286,540,1010,93,1462,548,399,301,306,476,473,586,599,879,761,256,491,182,1364,367,1181,100,1439,345,748,462,433,315,270,338,627,320
Clinton,1635,689,946,392,416,463,364,808,827,890,364,265,78,24,14,135,536,760,187,262,427,169,446,481,408,118,59,1275,255,39,129,617,531,262,0,1635,322,558,755,608,602,424,635,736,264,491,1137,151,1484,411,393,322,509,345,466,807,339,1246,210,838,518,222,1394,243,1386,227,1389,570,772,293,337,435,320,348,581,385
Someone Else,386,214,172,134,110,101,41,244,142,254,42,60,12,10,9,37,145,171,30,98,108,38,126,111,75,29,57,104,186,16,70,203,46,30,0,0,72,169,145,154,142,90,143,171,73,142,245,33,353,89,94,69,134,57,124,197,76,292,84,133,154,38,331,77,303,60,313,97,204,85,110,94,69,96,113,108
Did Not Vote,1107,481,626,535,284,181,106,820,288,676,118,210,56,22,25,190,441,375,74,268,218,142,409,295,179,55,183,301,400,73,196,412,177,53,0,0,471,434,202,603,367,137,550,377,181,388,712,141,966,160,213,229,505,129,262,655,209,802,286,352,358,87,977,186,911,150,933,331,480,296,213,267,194,219,427,267
Can't Remember,117,54,63,69,27,10,11,96,21,54,11,29,13,1,10,24,35,38,7,11,21,16,39,19,16,5,11,17,35,7,17,40,13,3,0,0,55,32,30,75,25,17,61,40,17,40,68,16,101,16,22,23,56,19,26,49,22,75,26,15,33,10,90,13,93,12,91,38,46,33,18,28,17,20,45,35
Total,4800,2334,2466,1468,1226,1224,882,2694,2106,3140,565,718,209,81,87,489,1702,2044,494,1087,1349,489,1378,1336,1133,381,1393,1797,1198,487,1037,1734,821,363,1555,1635,1312,1792,1696,1950,1717,1133,1759,2221,820,1600,3171,434,4366,1225,1120,945,1510,1025,1352,2294,1245,3293,1367,1594,1554,538,4155,885,3874,548,4166,1381,2250,1169,1112,1138,871,1021,1793,1115
Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,4%,2%,2%,10%,35%,43%,10%,23%,28%,10%,29%,28%,24%,8%,29%,37%,25%,10%,22%,36%,17%,8%,32%,34%,27%,37%,35%,41%,36%,24%,37%,46%,17%,33%,66%,9%,91%,26%,23%,20%,31%,21%,28%,48%,26%,69%,28%,33%,32%,11%,87%,18%,81%,11%,87%,29%,47%,24%,23%,24%,18%,21%,37%,23%
