,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Yes,9,8,10,17,13,2,0,15,1,7,16,15,**,**,**,12,12,7,3,9,5,13,11,9,6,6,6,11,8,7,6,9,8,11,6,9,14,10,5,13,8,4,25,0,0,27,0,100,0,4,9,10,13,5,11,9,7,9,8,8,11,7,9,7,9,13,8,12,8,8,7,8,9,10,9,9
No,91,92,90,83,87,98,100,85,99,93,84,85,**,**,**,88,88,93,97,91,95,87,89,91,94,94,94,89,92,93,94,91,92,89,94,91,86,90,95,87,92,96,75,100,100,73,100,0,100,96,91,90,87,95,89,91,93,91,92,92,89,93,91,93,91,87,92,88,92,92,93,92,91,90,91,91
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Adults,100,49,51,31,26,26,18,56,44,65,12,15,4,2,2,10,35,43,10,23,28,10,29,28,24,8,29,37,25,10,22,36,17,8,32,34,27,37,35,41,36,24,37,46,17,33,66,9,91,26,23,20,31,21,28,48,26,69,28,33,32,11,87,18,81,11,87,29,47,24,23,24,18,21,37,23
