,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Mike Pence ,1494,868,626,342,368,451,333,711,783,1166,59,172,41,26,29,92,532,671,187,412,527,112,348,420,428,177,999,158,285,344,607,438,55,21,1171,110,367,581,545,491,574,429,377,843,274,507,983,90,1404,535,381,283,295,467,474,533,583,851,728,244,472,167,1313,337,1148,94,1385,328,745,421,436,308,243,316,613,322
Michael Bloomberg,1694,782,912,446,432,448,367,878,816,997,313,261,80,25,19,148,545,803,187,296,469,176,469,499,413,124,110,1201,338,39,155,652,534,272,117,1237,334,580,780,616,605,472,653,772,268,520,1168,151,1542,387,390,335,581,320,442,910,323,1325,238,884,515,220,1454,268,1418,235,1437,562,822,309,394,429,347,373,579,395
Undecided,663,271,393,226,182,169,86,408,255,421,98,90,28,18,7,90,244,259,62,156,171,84,216,173,142,33,134,236,244,30,104,324,107,35,180,217,164,279,221,303,232,128,261,287,116,236,422,61,602,165,154,117,227,119,178,351,142,470,139,216,268,71,570,122,539,90,563,187,311,165,131,180,120,154,222,167
Total,3850,1920,1930,1014,983,1068,786,1997,1854,2584,470,523,149,69,55,329,1321,1733,436,864,1166,373,1033,1093,983,334,1243,1595,867,413,866,1414,696,327,1468,1564,865,1439,1547,1410,1411,1029,1290,1902,658,1263,2574,302,3548,1088,924,734,1104,906,1094,1793,1048,2646,1106,1345,1255,459,3336,727,3104,420,3385,1077,1878,895,961,917,710,844,1413,883
Composition of Registered Voters,100%,50%,50%,26%,26%,28%,20%,52%,48%,67%,12%,14%,4%,2%,1%,9%,34%,45%,11%,22%,30%,10%,27%,28%,26%,9%,32%,41%,23%,11%,23%,37%,18%,8%,38%,41%,22%,37%,40%,37%,37%,27%,34%,49%,17%,33%,67%,8%,92%,28%,24%,19%,29%,24%,28%,47%,27%,69%,29%,35%,33%,12%,87%,19%,81%,11%,88%,28%,49%,23%,25%,24%,18%,22%,37%,23%
