,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Donald Trump ,1538,905,633,354,395,461,328,749,789,1236,43,160,42,28,29,106,545,686,190,439,556,123,356,439,440,174,1053,98,332,354,618,462,52,12,1292,52,397,602,540,508,581,449,383,882,273,527,1005,90,1448,532,391,298,317,447,476,596,581,889,763,249,483,178,1347,353,1178,99,1425,329,739,470,440,299,268,330,618,322
Michael Bloomberg,1771,797,974,485,456,464,365,941,830,1032,326,292,78,23,20,160,574,829,195,313,478,187,505,511,430,125,110,1279,334,38,159,691,548,284,84,1308,357,615,799,665,637,470,681,799,292,567,1198,162,1609,407,413,349,602,347,476,922,357,1361,245,912,550,222,1527,272,1490,250,1499,585,871,316,412,459,346,391,616,418
Undecided,541,219,323,176,131,142,93,306,235,316,101,71,30,18,6,63,202,217,51,112,133,64,173,143,113,35,79,218,201,20,89,261,96,31,93,204,111,222,208,237,193,111,227,221,94,168,370,50,491,148,120,88,185,112,143,275,110,396,98,183,222,59,463,102,437,71,461,164,268,109,109,159,96,123,179,143
Total,3850,1920,1930,1014,983,1068,786,1997,1854,2584,470,523,149,69,55,329,1321,1733,436,864,1166,373,1033,1093,983,334,1243,1595,867,413,866,1414,696,327,1468,1564,865,1439,1547,1410,1411,1029,1290,1902,658,1263,2574,302,3548,1088,924,734,1104,906,1094,1793,1048,2646,1106,1345,1255,459,3336,727,3104,420,3385,1077,1878,895,961,917,710,844,1413,883
Composition of Registered Voters,100%,50%,50%,26%,26%,28%,20%,52%,48%,67%,12%,14%,4%,2%,1%,9%,34%,45%,11%,22%,30%,10%,27%,28%,26%,9%,32%,41%,23%,11%,23%,37%,18%,8%,38%,41%,22%,37%,40%,37%,37%,27%,34%,49%,17%,33%,67%,8%,92%,28%,24%,19%,29%,24%,28%,47%,27%,69%,29%,35%,33%,12%,87%,19%,81%,11%,88%,28%,49%,23%,25%,24%,18%,22%,37%,23%
