,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Republican,29,33,26,23,29,33,33,26,33,35,7,22,**,**,**,18,29,31,36,36,37,22,25,28,35,44,100,0,0,75,60,19,4,3,70,4,28,30,29,23,30,37,19,36,31,31,28,19,30,42,30,29,18,42,33,22,46,23,51,14,27,27,30,35,28,18,31,21,31,36,33,28,23,28,32,28
Democrat,37,32,42,37,39,37,37,38,37,30,71,46,**,**,**,38,37,38,35,29,30,41,39,40,34,31,0,100,0,9,16,36,75,82,6,78,33,36,42,39,37,35,43,34,35,36,38,44,37,34,40,39,37,34,39,39,31,41,19,57,34,43,37,31,39,46,37,46,36,30,31,41,41,36,36,38
Other Party,2,2,2,3,3,1,1,3,1,2,1,3,**,**,**,2,3,2,2,2,2,3,2,2,1,2,0,0,0,1,2,3,2,3,1,1,3,2,2,2,2,2,2,2,1,3,2,3,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,3
Independent,25,27,23,27,23,24,26,25,25,27,16,23,**,**,**,27,24,25,24,26,27,25,25,24,26,21,0,0,100,13,20,38,18,12,21,16,25,25,24,26,25,22,27,23,27,23,26,23,25,21,24,22,31,18,22,30,18,28,21,23,30,23,25,26,25,25,25,24,25,25,29,22,27,26,23,24
Not Sure,6,5,8,11,6,4,3,8,4,6,5,7,**,**,**,14,7,4,2,6,4,9,9,6,3,2,0,0,0,3,2,5,1,1,2,2,12,6,3,9,5,4,9,5,6,7,6,12,6,2,5,7,11,4,5,7,3,6,6,4,7,5,6,5,7,7,6,6,6,8,5,7,6,7,6,6
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Adults,100,49,51,31,26,26,18,56,44,65,12,15,4,2,2,10,35,43,10,23,28,10,29,28,24,8,29,37,25,10,22,36,17,8,32,34,27,37,35,41,36,24,37,46,17,33,66,9,91,26,23,20,31,21,28,48,26,69,28,33,32,11,87,18,81,11,87,29,47,24,23,24,18,21,37,23
