,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Regularly,21,20,23,16,20,22,31,18,26,20,29,21,**,**,**,15,19,23,29,17,22,18,15,22,27,32,31,19,16,45,26,19,15,12,31,21,17,18,29,17,22,28,15,27,20,22,21,12,22,38,23,28,3,100,0,0,46,13,42,10,17,26,21,25,21,13,23,20,21,23,19,23,16,20,26,19
Occasionally,28,29,27,28,29,32,21,29,27,26,35,32,**,**,**,24,28,29,28,25,28,25,28,31,26,28,32,29,25,28,33,30,21,22,30,29,29,30,26,29,28,27,27,28,29,33,26,35,27,33,37,39,11,0,100,0,36,25,31,22,32,30,28,29,28,25,28,29,28,27,29,27,28,28,30,25
Almost Never,48,48,47,51,48,45,46,50,45,52,34,44,**,**,**,56,50,45,42,56,49,53,53,45,45,38,36,50,57,25,38,49,62,64,38,49,51,50,43,51,48,43,54,42,49,43,50,50,48,29,38,31,80,0,0,100,17,60,26,66,49,41,49,44,49,58,47,48,49,47,49,48,52,49,42,53
Not Sure,3,2,3,5,2,1,1,4,1,3,1,3,**,**,**,5,3,2,2,3,2,4,3,2,1,2,1,2,3,3,2,2,2,1,1,1,4,2,2,4,2,2,4,2,2,3,3,4,3,0,2,2,6,0,0,0,1,3,2,2,3,2,3,1,3,5,2,2,3,3,2,3,4,3,2,3
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Adults,100,49,51,31,26,26,18,56,44,65,12,15,4,2,2,10,35,43,10,23,28,10,29,28,24,8,29,37,25,10,22,36,17,8,32,34,27,37,35,41,36,24,37,46,17,33,66,9,91,26,23,20,31,21,28,48,26,69,28,33,32,11,87,18,81,11,87,29,47,24,23,24,18,21,37,23
