,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Mike Pence ,41,48,34,36,39,46,44,37,45,48,13,34,**,**,**,29,41,42,47,49,49,31,35,41,47,55,83,11,38,85,74,34,10,3,83,7,44,42,39,36,42,46,31,47,44,42,41,30,42,51,45,40,28,54,46,32,57,35,69,19,41,39,41,49,39,23,43,32,42,50,49,36,39,40,45,37
Kamala Harris,46,40,51,49,47,41,45,48,43,39,75,53,**,**,**,49,45,45,44,37,39,53,48,47,42,38,6,80,40,9,15,47,81,93,6,84,40,44,50,48,45,43,55,41,41,44,46,57,45,38,42,46,56,35,42,53,32,52,20,70,42,50,45,37,48,63,43,57,45,34,40,50,47,45,42,49
Undecided,13,12,15,15,14,13,11,15,12,14,12,13,**,**,**,22,14,13,9,14,13,16,17,13,11,6,10,10,22,6,11,19,9,4,11,8,17,14,11,16,13,10,14,13,15,14,13,13,14,11,13,14,16,11,13,15,11,13,11,12,17,11,14,14,13,13,13,12,13,16,11,15,14,14,12,14
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Registered Voters,100,50,50,26,26,28,20,52,48,67,12,14,4,2,1,9,34,45,11,22,30,10,27,28,26,9,32,41,23,11,23,37,18,8,38,41,22,37,40,37,37,27,34,49,17,33,67,8,92,28,24,19,29,24,28,47,27,69,29,35,33,12,87,19,81,11,88,28,49,23,25,24,18,22,37,23
