1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
Midwest,1072,524,548,318,265,282,208,583,490,847,106,64,26,17,12,99,397,456,102,298,382,105,309,308,254,79,363,393,240,131,252,374,178,62,385,360,269,463,341,426,418,228,366,512,195,359,704,142,930,317,210,213,333,225,289,527,280,725,333,337,354,124,926,174,893,94,960,267,491,314,242,249,0,1072,0,0
,South,1872,908,964,571,482,469,351,1052,820,1152,343,274,60,29,14,162,677,785,218,417,474,177,532,525,449,158,615,674,455,243,414,718,286,108,672,615,523,723,627,747,706,419,598,924,350,651,1202,240,1632,592,342,446,491,471,597,753,628,1122,639,530,598,108,1711,365,1492,175,1667,467,909,495,434,475,0,0,1872
West,1164,574,590,375,302,287,200,677,487,643,48,300,119,33,21,97,395,479,174,200,296,115,331,274,324,92,338,427,309,122,250,425,203,106,346,368,256,464,445,404,425,336,420,552,193,368,776,125,1039,253,256,215,441,225,297,596,254,834,306,453,338,151,976,230,914,138,1001,377,571,216,276,295,0,0,0,1164
Total,5000,2431,2569,1529,1277,1275,919,2806,2194,3270,589,748,234,100,59,438,1764,2109,609,1107,1438,487,1426,1346,1245,408,1572,1851,1220,572,1096,1851,847,343,1692,1682,1276,1966,1758,1882,1880,1239,1710,2403,888,1667,3276,598,4402,1350,1096,1025,1529,1059,1443,2349,1292,3405,1481,1682,1563,520,4343,884,4069,500,4414,1369,2435,1196,1163,1272,891,1072,1872,1164
Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,5%,2%,1%,9%,35%,42%,12%,22%,29%,10%,29%,27%,25%,8%,31%,37%,24%,11%,22%,37%,17%,7%,34%,34%,26%,39%,35%,38%,38%,25%,34%,48%,18%,33%,66%,12%,88%,27%,22%,21%,31%,21%,29%,47%,26%,68%,30%,34%,31%,10%,87%,18%,81%,10%,88%,27%,49%,24%,23%,25%,18%,21%,37%,23%
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
