1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
Urban,1369,724,646,517,404,272,177,921,449,666,272,300,80,34,17,126,510,535,178,217,273,138,417,350,318,119,322,655,298,128,233,518,280,134,340,569,351,514,505,573,487,310,624,569,176,514,845,208,1162,273,326,298,472,261,407,657,322,970,363,513,408,163,1170,208,1147,193,1147,1369,0,0,0,0,258,267,467,377
,Suburban,2435,1163,1272,676,603,662,494,1279,1156,1666,232,333,131,51,22,157,749,1160,331,488,830,225,625,663,670,216,776,888,608,260,531,946,413,157,852,835,507,959,969,749,943,743,782,1223,430,763,1643,250,2185,676,578,487,694,523,702,1146,602,1711,689,867,774,245,2130,451,1971,215,2190,0,2435,0,1163,1272,464,491,909
Rural,1196,544,651,337,269,342,248,606,590,938,85,115,23,14,20,155,505,415,100,402,335,124,384,332,257,74,474,308,315,184,332,387,155,52,499,278,418,494,284,560,450,186,304,610,281,389,788,140,1055,401,191,240,363,275,333,546,368,725,429,301,381,113,1043,225,951,92,1078,0,0,1196,0,0,170,314,495,216
Total,5000,2431,2569,1529,1277,1275,919,2806,2194,3270,589,748,234,100,59,438,1764,2109,609,1107,1438,487,1426,1346,1245,408,1572,1851,1220,572,1096,1851,847,343,1692,1682,1276,1966,1758,1882,1880,1239,1710,2403,888,1667,3276,598,4402,1350,1096,1025,1529,1059,1443,2349,1292,3405,1481,1682,1563,520,4343,884,4069,500,4414,1369,2435,1196,1163,1272,891,1072,1872,1164
Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,5%,2%,1%,9%,35%,42%,12%,22%,29%,10%,29%,27%,25%,8%,31%,37%,24%,11%,22%,37%,17%,7%,34%,34%,26%,39%,35%,38%,38%,25%,34%,48%,18%,33%,66%,12%,88%,27%,22%,21%,31%,21%,29%,47%,26%,68%,30%,34%,31%,10%,87%,18%,81%,10%,88%,27%,49%,24%,23%,25%,18%,21%,37%,23%
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
