1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
White,3270,1594,1676,862,777,909,722,1639,1631,3270,0,0,0,0,0,284,1107,1438,410,1107,1438,319,905,890,869,260,1298,958,827,439,809,1150,495,204,1414,919,815,1297,1158,1153,1268,850,922,1705,644,1005,2246,301,2970,1004,670,640,957,691,891,1619,834,2271,1052,1089,1002,346,2876,635,2620,293,2934,666,1666,938,823,843,628,847,1152,643
,Black or African American,589,274,315,208,158,144,79,366,222,0,589,0,0,0,0,66,265,206,38,0,0,62,197,191,95,33,34,411,97,45,80,239,125,54,32,367,175,249,165,317,189,82,308,191,90,233,353,138,451,167,41,179,201,145,215,207,207,333,153,189,200,49,516,78,505,60,523,272,232,85,92,140,91,106,343
"Hispanic, Latino, or Mexican",748,377,371,313,229,137,69,542,206,0,0,748,0,0,0,64,274,310,90,0,0,77,222,187,162,73,162,329,178,59,145,307,134,60,170,269,228,287,232,280,311,157,320,330,98,302,430,120,627,104,321,118,204,154,231,328,171,517,191,256,238,88,617,121,612,108,616,300,333,115,157,176,109,64,274,300
Asian,234,114,120,86,77,40,31,163,71,0,0,0,234,0,0,5,64,103,55,0,0,8,49,45,93,30,47,97,70,13,38,95,59,22,39,79,22,62,151,53,69,112,92,129,13,83,144,17,218,50,43,47,95,51,58,116,49,176,58,90,67,25,205,24,209,17,214,80,131,23,64,67,30,26,60,119
Multiracial,100,36,64,39,25,23,13,63,36,0,0,0,0,100,0,7,38,41,9,0,0,12,28,29,21,8,15,43,32,7,13,43,27,3,18,38,20,44,36,50,30,20,54,29,17,30,68,15,85,18,14,28,39,13,33,51,22,71,17,43,34,4,91,14,86,18,80,34,51,14,16,35,21,17,29,33
Some other way,59,37,23,21,12,22,5,32,27,0,0,0,0,0,59,12,16,12,7,0,0,9,24,4,5,5,16,13,17,9,12,17,8,1,18,9,16,27,16,29,13,17,14,20,26,14,35,8,51,7,6,13,33,5,15,29,8,37,9,15,22,8,38,13,38,3,46,17,22,20,10,12,13,12,14,21
Total,5000,2431,2569,1529,1277,1275,919,2806,2194,3270,589,748,234,100,59,438,1764,2109,609,1107,1438,487,1426,1346,1245,408,1572,1851,1220,572,1096,1851,847,343,1692,1682,1276,1966,1758,1882,1880,1239,1710,2403,888,1667,3276,598,4402,1350,1096,1025,1529,1059,1443,2349,1292,3405,1481,1682,1563,520,4343,884,4069,500,4414,1369,2435,1196,1163,1272,891,1072,1872,1164
Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,5%,2%,1%,9%,35%,42%,12%,22%,29%,10%,29%,27%,25%,8%,31%,37%,24%,11%,22%,37%,17%,7%,34%,34%,26%,39%,35%,38%,38%,25%,34%,48%,18%,33%,66%,12%,88%,27%,22%,21%,31%,21%,29%,47%,26%,68%,30%,34%,31%,10%,87%,18%,81%,10%,88%,27%,49%,24%,23%,25%,18%,21%,37%,23%
