1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
5000 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Credibility Interval: ± ,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Poor,438,179,259,122,126,121,69,248,190,284,66,64,5,7,12,438,0,0,0,0,0,141,223,55,7,3,107,167,121,59,81,152,63,34,113,120,198,180,60,382,49,8,168,158,113,149,287,75,364,118,65,101,155,66,110,251,117,280,142,136,122,22,406,50,385,62,369,126,157,155,62,95,80,99,162,97
Working Class,1764,868,896,562,461,476,265,1024,740,1107,265,274,64,38,16,0,1764,0,0,1107,0,221,751,515,214,40,488,691,447,189,388,670,288,112,519,589,612,795,357,912,692,160,686,723,355,631,1120,284,1480,415,352,377,620,308,500,903,452,1191,514,601,554,169,1556,293,1459,178,1561,510,749,505,354,395,294,397,677,395
Middle Class,2109,1036,1074,623,531,524,431,1154,955,1438,206,310,103,41,12,0,0,2109,0,0,1438,104,400,659,763,159,747,764,490,217,502,801,381,128,805,755,377,823,909,485,966,659,648,1127,334,678,1421,194,1915,654,514,389,553,497,659,904,565,1449,636,701,684,253,1808,421,1678,193,1893,535,1160,415,554,606,389,456,785,479
Upper-Middle,570,277,293,175,138,129,128,313,257,395,31,84,47,9,5,0,0,0,570,0,0,13,28,90,252,182,199,211,127,84,111,194,112,58,223,202,56,143,371,44,152,374,165,350,54,180,379,36,534,146,150,138,135,161,156,242,136,418,155,226,174,65,491,107,459,55,505,163,312,95,161,151,111,98,198,163
