All,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval:  ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Yes,4069,1987,2082,1101,1044,1086,838,2145,1924,2754,483,556,158,79,39,299,1370,1832,528,877,1283,377,1097,1102,1110,355,1395,1647,898,493,922,1485,737,305,1607,1613,846,1650,1573,1369,1591,1109,1283,2074,713,1366,2684,453,3616,1221,884,804,1159,923,1200,1881,1112,2791,1227,1457,1260,440,3569,752,3302,399,3620,1111,2026,931,970,1056,727,898,1521,923
No,843,402,441,385,209,174,76,594,249,477,93,173,69,17,14,131,355,255,75,214,140,101,301,221,125,53,164,182,300,74,161,334,99,35,75,62,398,278,167,461,267,116,384,306,152,278,546,131,712,118,194,197,333,119,227,431,173,563,238,211,269,74,713,123,702,92,729,230,373,240,178,195,150,160,315,218
Not Sure,88,42,46,43,24,16,5,67,21,40,13,19,7,3,6,9,39,22,5,16,15,9,28,22,10,1,13,23,23,6,13,31,11,3,9,8,32,39,17,52,22,14,43,23,22,23,45,14,74,10,17,23,38,16,16,38,7,51,16,13,35,6,60,9,66,9,65,28,35,24,15,20,15,14,35,23
Total,5000,2431,2569,1529,1277,1275,919,2806,2194,3270,589,748,234,100,59,438,1764,2109,609,1107,1438,487,1426,1346,1245,408,1572,1851,1220,572,1096,1851,847,343,1692,1682,1276,1966,1758,1882,1880,1239,1710,2403,888,1667,3276,598,4402,1350,1096,1025,1529,1059,1443,2349,1292,3405,1481,1682,1563,520,4343,884,4069,500,4414,1369,2435,1196,1163,1272,891,1072,1872,1164
Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,5%,2%,1%,9%,35%,42%,12%,22%,29%,10%,29%,27%,25%,8%,31%,37%,24%,11%,22%,37%,17%,7%,34%,34%,26%,39%,35%,38%,38%,25%,34%,48%,18%,33%,66%,12%,88%,27%,22%,21%,31%,21%,29%,47%,26%,68%,30%,34%,31%,10%,87%,18%,81%,10%,88%,27%,49%,24%,23%,25%,18%,21%,37%,23%
