1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
Regularly,1059,482,576,243,266,301,248,509,549,691,145,154,51,13,5,66,308,497,172,189,335,74,246,280,322,125,491,310,190,252,301,312,116,43,522,289,208,359,492,331,427,301,241,657,160,390,658,96,963,517,243,255,44,1059,0,0,611,411,627,156,232,130,911,209,842,57,990,261,523,275,229,294,138,225,471,225
,Occasionally,1443,680,763,457,375,376,234,833,610,891,215,231,58,33,15,110,500,659,160,289,423,123,405,401,378,111,487,544,330,136,372,588,222,64,537,487,364,611,468,512,591,341,504,687,252,539,890,199,1244,426,421,416,179,0,1443,0,447,889,435,402,543,162,1245,262,1173,132,1294,407,702,333,319,383,260,289,597
Almost Never,2349,1184,1166,736,605,577,431,1341,1008,1619,207,328,116,51,29,251,903,904,262,608,648,275,730,629,524,167,576,956,665,180,402,904,488,225,615,877,641,952,756,954,825,570,888,1017,444,691,1643,281,2068,398,420,332,1199,0,0,2349,227,2014,402,1080,747,215,2089,392,1946,297,2014,657,1146,546,585,561,473,527,753,596
Not Sure,149,86,64,92,31,20,6,123,27,69,23,35,9,3,10,12,53,49,15,21,32,15,44,36,22,5,17,41,35,5,21,47,22,11,17,29,64,44,42,85,37,27,76,42,31,46,85,22,128,8,12,23,108,0,0,0,7,91,17,45,41,13,98,21,108,14,116,44,64,42,30,33,20,32,51,46
Total,5000,2431,2569,1529,1277,1275,919,2806,2194,3270,589,748,234,100,59,438,1764,2109,609,1107,1438,487,1426,1346,1245,408,1572,1851,1220,572,1096,1851,847,343,1692,1682,1276,1966,1758,1882,1880,1239,1710,2403,888,1667,3276,598,4402,1350,1096,1025,1529,1059,1443,2349,1292,3405,1481,1682,1563,520,4343,884,4069,500,4414,1369,2435,1196,1163,1272,891,1072,1872,1164
Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,5%,2%,1%,9%,35%,42%,12%,22%,29%,10%,29%,27%,25%,8%,31%,37%,24%,11%,22%,37%,17%,7%,34%,34%,26%,39%,35%,38%,38%,25%,34%,48%,18%,33%,66%,12%,88%,27%,22%,21%,31%,21%,29%,47%,26%,68%,30%,34%,31%,10%,87%,18%,81%,10%,88%,27%,49%,24%,23%,25%,18%,21%,37%,23%
