,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Protestant,1225,546,679,194,253,410,367,447,778,908,164,86,41,19,7,95,435,547,137,315,412,100,310,357,350,101,515,414,255,200,351,415,180,50,548,411,270,435,520,435,461,328,290,668,267,317,906,51,1174,1225,0,0,0,462,399,360,679,501,515,297,381,154,1059,274,947,102,1106,253,593,380,267,326,161,279,559,226
Catholic,1120,583,537,329,265,301,225,594,526,688,43,316,45,14,15,70,330,554,156,187,346,86,270,332,293,124,336,448,264,111,252,429,209,59,399,393,273,400,447,361,438,321,381,580,159,383,729,96,1025,0,1120,0,0,253,417,431,147,921,298,347,408,155,942,207,902,101,1001,352,587,181,319,268,304,227,324,265
Other,945,441,504,323,282,214,125,605,339,563,184,105,47,15,30,127,357,363,88,212,213,114,297,266,194,61,270,369,206,100,221,325,119,84,301,322,286,375,284,448,305,192,338,429,178,393,548,95,849,0,0,945,0,268,370,290,302,574,320,264,295,107,815,149,786,104,825,310,392,243,184,208,145,185,398,216
No Organized Religion,1510,764,746,621,426,299,164,1047,463,980,174,211,76,34,35,196,580,581,114,374,378,189,501,381,295,95,272,566,473,77,213,565,313,170,306,509,484,582,444,705,513,292,750,544,216,507,988,192,1318,0,0,0,1510,42,166,1214,117,1297,234,685,470,122,1340,254,1239,242,1233,466,679,365,342,336,260,331,511,408
Total,4800,2334,2466,1468,1226,1224,882,2694,2106,3140,565,718,209,81,87,489,1702,2044,494,1087,1349,489,1378,1336,1133,381,1393,1797,1198,487,1037,1734,821,363,1555,1635,1312,1792,1696,1950,1717,1133,1759,2221,820,1600,3171,434,4366,1225,1120,945,1510,1025,1352,2294,1245,3293,1367,1594,1554,538,4155,885,3874,548,4166,1381,2250,1169,1112,1138,871,1021,1793,1115
Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,4%,2%,2%,10%,35%,43%,10%,23%,28%,10%,29%,28%,24%,8%,29%,37%,25%,10%,22%,36%,17%,8%,32%,34%,27%,37%,35%,41%,36%,24%,37%,46%,17%,33%,66%,9%,91%,26%,23%,20%,31%,21%,28%,48%,26%,69%,28%,33%,32%,11%,87%,18%,81%,11%,87%,29%,47%,24%,23%,24%,18%,21%,37%,23%
