1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2400 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
Yes,19%,22%,16%,18%,14%,17%,28%,16%,22%,19%,**,21%,9%,**,**,17%,19%,19%,20%,18%,19%,16%,17%,19%,19%,23%,25%,16%,19%,28%,21%,20%,14%,11%,26%,17%,18%,21%,17%,15%,22%,19%,14%,23%,18%,17%,20%,14%,19%,23%,18%,17%,18%,22%,23%,15%,22%,17%,21%,17%,20%,25%,17%,100%,0%,25%,18%,16%,19%,27%,21%,17%,21%,18%,20%,17%
No,80%,77%,82%,79%,86%,83%,72%,82%,78%,80%,**,77%,91%,**,**,81%,80%,80%,80%,81%,81%,84%,83%,80%,80%,76%,74%,84%,80%,72%,78%,79%,85%,88%,73%,83%,79%,78%,82%,83%,77%,80%,84%,76%,81%,82%,79%,84%,80%,77%,81%,81%,80%,77%,76%,84%,77%,83%,79%,82%,79%,75%,82%,0%,100%,74%,81%,83%,80%,71%,79%,82%,77%,81%,79%,83%
Not Sure,1%,1%,1%,3%,1%,1%,0%,2%,0%,1%,**,1%,0%,**,**,2%,1%,1%,1%,1%,1%,0%,1%,1%,1%,1%,1%,0%,1%,0%,1%,1%,1%,1%,1%,0%,3%,1%,1%,2%,1%,1%,2%,1%,1%,1%,1%,2%,1%,0%,1%,1%,2%,1%,1%,1%,1%,1%,0%,1%,1%,0%,1%,0%,0%,1%,1%,1%,1%,2%,0%,1%,2%,1%,1%,1%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Composition of Adults,100%,48%,52%,29%,24%,25%,23%,52%,48%,60%,4%,26%,7%,1%,1%,7%,29%,44%,18%,14%,28%,8%,25%,27%,28%,10%,29%,41%,21%,8%,20%,37%,20%,9%,29%,39%,20%,36%,44%,31%,33%,36%,37%,45%,18%,29%,71%,9%,91%,19%,27%,18%,35%,18%,29%,50%,21%,73%,23%,42%,30%,16%,81%,19%,80%,12%,86%,34%,53%,13%,25%,28%,23%,37%,23%,17%
