Candidate,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
nan,All,Credibility Interval: ± ,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E
Male,590,590,0,139,120,169,161,259,331,364,12,163,45,3,3,31,166,288,100,89,185,28,123,177,185,62,203,191,149,59,146,228,86,35,209,188,122,207,261,159,193,237,208,280,102,137,451,40,550,108,166,103,213,97,160,323,113,442,133,227,209,92,481,124,464,60,526,0,590,0,590,0,106,243,156,84
Female,673,0,673,173,144,188,169,317,356,415,19,167,58,11,2,39,163,330,134,79,211,45,154,169,219,73,179,306,128,50,123,266,141,65,174,291,111,258,304,195,207,271,224,304,145,178,492,60,613,154,171,133,216,131,187,335,131,512,144,311,197,93,569,114,551,69,590,0,673,0,0,673,142,235,173,124
Total,2400,1150,1250,687,565,601,547,1252,1148,1447,93,623,174,35,28,178,696,1064,427,341,677,182,593,638,673,243,695,996,503,199,491,884,471,213,696,943,471,875,1054,743,791,866,881,1084,435,685,1699,218,2182,464,648,444,844,438,684,1207,496,1762,547,1012,720,382,1951,453,1921,278,2070,828,1263,309,590,673,554,888,552,406
Composition of Adults,100,48,52,29,24,25,23,52,48,60,4,26,7,1,1,7,29,44,18,14,28,8,25,27,28,10,29,41,21,8,20,37,20,9,29,39,20,36,44,31,33,36,37,45,18,29,71,9,91,19,27,18,35,18,29,50,21,73,23,42,30,16,81,19,80,12,86,34,53,13,25,28,23,37,23,17
