1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2400 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
Republican,29%,34%,24%,25%,29%,32%,31%,27%,31%,34%,**,22%,22%,**,**,19%,26%,32%,34%,32%,37%,24%,18%,30%,38%,37%,100%,0%,0%,85%,64%,19%,5%,5%,75%,5%,25%,31%,29%,24%,29%,33%,23%,35%,26%,32%,28%,20%,30%,45%,31%,26%,20%,44%,32%,23%,49%,23%,53%,16%,30%,30%,29%,38%,27%,15%,31%,25%,30%,34%,34%,27%,34%,27%,30%,23%
Democrat,41%,36%,46%,39%,41%,42%,44%,40%,43%,37%,**,47%,45%,**,**,42%,41%,42%,42%,35%,39%,42%,46%,42%,37%,44%,0%,100%,0%,4%,17%,38%,80%,79%,7%,78%,35%,41%,45%,43%,42%,40%,45%,39%,41%,40%,42%,45%,41%,30%,47%,43%,43%,30%,41%,46%,27%,47%,22%,60%,34%,45%,42%,35%,43%,54%,40%,49%,39%,29%,32%,45%,32%,45%,42%,45%
Other Party,3%,3%,3%,4%,3%,2%,1%,3%,2%,3%,**,3%,3%,**,**,4%,3%,3%,2%,2%,3%,4%,2%,3%,2%,4%,0%,0%,0%,1%,2%,4%,1%,3%,3%,1%,2%,3%,3%,3%,3%,2%,3%,2%,4%,2%,3%,1%,3%,2%,1%,3%,4%,1%,2%,3%,2%,3%,2%,3%,3%,4%,2%,3%,3%,3%,3%,2%,3%,4%,3%,3%,3%,2%,3%,3%
Independent,21%,22%,20%,22%,21%,20%,20%,22%,20%,22%,**,19%,24%,**,**,26%,22%,20%,21%,24%,20%,25%,24%,20%,20%,13%,0%,0%,100%,8%,14%,33%,13%,11%,14%,15%,22%,20%,21%,20%,21%,22%,22%,18%,25%,20%,22%,24%,21%,21%,14%,22%,26%,18%,20%,23%,17%,22%,17%,19%,26%,16%,22%,21%,21%,20%,21%,19%,22%,23%,25%,19%,22%,20%,19%,25%
Not Sure,6%,5%,7%,9%,5%,4%,4%,8%,4%,4%,**,10%,6%,**,**,10%,9%,4%,2%,7%,1%,5%,9%,5%,3%,2%,0%,0%,0%,2%,4%,5%,2%,1%,1%,1%,16%,5%,2%,10%,5%,3%,8%,5%,4%,6%,6%,9%,6%,2%,7%,7%,7%,7%,5%,5%,6%,5%,7%,3%,6%,6%,5%,3%,6%,8%,5%,5%,6%,10%,5%,6%,8%,5%,5%,5%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Composition of Adults,100%,48%,52%,29%,24%,25%,23%,52%,48%,60%,4%,26%,7%,1%,1%,7%,29%,44%,18%,14%,28%,8%,25%,27%,28%,10%,29%,41%,21%,8%,20%,37%,20%,9%,29%,39%,20%,36%,44%,31%,33%,36%,37%,45%,18%,29%,71%,9%,91%,19%,27%,18%,35%,18%,29%,50%,21%,73%,23%,42%,30%,16%,81%,19%,80%,12%,86%,34%,53%,13%,25%,28%,23%,37%,23%,17%
