Candidate,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
nan,All,Credibility Interval: ± ,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E
Central Valley,554,233,320,188,135,146,85,323,231,382,14,118,26,8,6,55,191,227,66,122,161,57,140,172,130,36,191,178,119,57,140,204,75,38,191,161,144,252,158,223,181,149,211,238,104,188,362,71,482,133,122,104,195,90,162,286,137,369,136,196,188,104,435,115,428,59,484,134,248,172,106,142,554,0,0,0
Greater L.A.,888,471,417,236,198,233,221,434,454,486,48,275,65,8,5,58,252,390,178,106,224,54,221,216,258,107,243,401,177,66,162,322,197,87,238,384,155,288,445,234,324,329,340,402,146,235,647,70,818,165,257,189,277,187,266,414,188,662,195,403,251,124,734,161,719,98,771,376,478,33,243,235,0,888,0,0
Inland Empire,552,254,299,146,133,138,135,279,273,327,21,175,19,10,1,41,158,273,75,73,177,45,157,150,141,48,167,235,106,58,102,204,102,49,169,207,127,206,219,213,180,159,195,252,105,156,391,55,497,94,170,84,204,101,137,294,125,398,158,218,147,67,477,110,437,76,470,146,329,78,156,173,0,0,552,0
Bay Area/Northern Coast,406,192,214,117,99,84,106,216,190,252,10,55,64,10,16,23,96,174,108,41,116,25,74,99,144,52,95,182,100,18,87,154,97,38,98,192,45,129,232,73,105,228,134,193,79,106,299,22,384,72,98,67,169,59,120,213,47,334,58,195,134,87,305,68,336,45,344,172,208,26,84,124,0,0,0,406
Total,2400,1150,1250,687,565,601,547,1252,1148,1447,93,623,174,35,28,178,696,1064,427,341,677,182,593,638,673,243,695,996,503,199,491,884,471,213,696,943,471,875,1054,743,791,866,881,1084,435,685,1699,218,2182,464,648,444,844,438,684,1207,496,1762,547,1012,720,382,1951,453,1921,278,2070,828,1263,309,590,673,554,888,552,406
Composition of Registered Voters,100,48,52,29,24,25,23,52,48,60,4,26,7,1,1,7,29,44,18,14,28,8,25,27,28,10,29,41,21,8,20,37,20,9,29,39,20,36,44,31,33,36,37,45,18,29,71,9,91,19,27,18,35,18,29,50,21,73,23,42,30,16,81,19,80,12,86,34,53,13,25,28,23,37,23,17
