1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2400 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
Single,37%,38%,35%,69%,33%,27%,11%,52%,19%,35%,**,38%,40%,**,**,56%,42%,33%,27%,40%,32%,45%,47%,38%,27%,24%,29%,40%,38%,28%,29%,37%,41%,44%,26%,35%,49%,39%,29%,52%,39%,22%,100%,0%,0%,22%,43%,69%,33%,24%,35%,35%,46%,20%,32%,44%,26%,39%,26%,41%,37%,31%,37%,28%,38%,52%,34%,41%,34%,36%,35%,33%,38%,38%,35%,33%
Married,45%,47%,43%,28%,54%,50%,52%,40%,51%,45%,**,46%,46%,**,**,24%,38%,50%,55%,39%,51%,37%,34%,47%,54%,58%,54%,42%,40%,55%,50%,46%,40%,43%,56%,46%,34%,42%,53%,23%,43%,66%,0%,100%,0%,68%,36%,0%,50%,53%,49%,44%,39%,63%,51%,37%,56%,43%,58%,41%,42%,56%,44%,55%,43%,33%,47%,44%,46%,44%,48%,45%,43%,45%,46%,47%
No Longer Married,18%,15%,21%,3%,13%,23%,37%,8%,30%,19%,**,16%,14%,**,**,21%,19%,17%,17%,21%,17%,18%,20%,15%,19%,18%,16%,18%,22%,17%,21%,17%,19%,13%,19%,19%,17%,19%,18%,25%,18%,12%,0%,0%,100%,10%,21%,31%,17%,24%,16%,21%,15%,17%,17%,20%,18%,18%,16%,18%,21%,13%,19%,17%,18%,14%,18%,15%,20%,20%,17%,21%,19%,16%,19%,20%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Composition of Adults,100%,48%,52%,29%,24%,25%,23%,52%,48%,60%,4%,26%,7%,1%,1%,7%,29%,44%,18%,14%,28%,8%,25%,27%,28%,10%,29%,41%,21%,8%,20%,37%,20%,9%,29%,39%,20%,36%,44%,31%,33%,36%,37%,45%,18%,29%,71%,9%,91%,19%,27%,18%,35%,18%,29%,50%,21%,73%,23%,42%,30%,16%,81%,19%,80%,12%,86%,34%,53%,13%,25%,28%,23%,37%,23%,17%
