1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2400 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
Yes,16%,17%,15%,16%,18%,18%,12%,17%,15%,15%,**,18%,12%,**,**,10%,18%,16%,14%,17%,15%,16%,14%,17%,17%,14%,17%,17%,12%,18%,16%,17%,16%,19%,17%,17%,14%,17%,16%,8%,19%,20%,13%,20%,12%,21%,14%,16%,16%,15%,19%,14%,15%,22%,17%,13%,16%,15%,17%,16%,16%,100%,0%,21%,15%,18%,16%,18%,15%,14%,16%,14%,19%,14%,12%,21%
No,81%,80%,83%,77%,81%,82%,86%,79%,84%,83%,**,77%,86%,**,**,87%,80%,81%,84%,82%,84%,83%,84%,81%,81%,84%,82%,81%,84%,82%,84%,81%,82%,80%,82%,82%,80%,81%,82%,89%,78%,78%,82%,79%,85%,77%,83%,80%,81%,84%,80%,81%,81%,77%,79%,85%,82%,83%,81%,82%,82%,0%,100%,75%,83%,80%,82%,79%,83%,81%,82%,84%,79%,83%,86%,75%
Not Sure,3%,3%,3%,7%,1%,1%,2%,4%,1%,2%,**,5%,2%,**,**,3%,2%,3%,2%,2%,1%,0%,2%,2%,1%,2%,1%,1%,4%,0%,1%,2%,2%,1%,1%,1%,5%,2%,2%,3%,3%,2%,5%,1%,3%,3%,3%,4%,3%,1%,2%,5%,4%,1%,4%,2%,2%,2%,2%,2%,3%,0%,0%,5%,2%,2%,2%,3%,2%,5%,3%,2%,3%,3%,2%,4%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Composition of Adults,100%,48%,52%,29%,24%,25%,23%,52%,48%,60%,4%,26%,7%,1%,1%,7%,29%,44%,18%,14%,28%,8%,25%,27%,28%,10%,29%,41%,21%,8%,20%,37%,20%,9%,29%,39%,20%,36%,44%,31%,33%,36%,37%,45%,18%,29%,71%,9%,91%,19%,27%,18%,35%,18%,29%,50%,21%,73%,23%,42%,30%,16%,81%,19%,80%,12%,86%,34%,53%,13%,25%,28%,23%,37%,23%,17%
