1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2400 Adults,All,Gender,Age,<50 / 50+,Race,Class,White X Class,Paycheck,Party Affiliation,Ideology,2016 Vote,Education,Income,Marital Status,Child < 18,Single Parent,Religion,Attend Religious Service,Evangelical,Abortion,Union HH,Military HH,LGBTQ HH,Urbanicity,Suburban,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
Trump,29%,34%,24%,23%,28%,32%,35%,25%,33%,35%,**,21%,16%,**,**,22%,26%,30%,36%,33%,36%,25%,19%,31%,35%,40%,76%,5%,19%,84%,61%,21%,5%,7%,100%,0%,23%,31%,30%,24%,31%,32%,20%,36%,30%,32%,28%,20%,30%,48%,29%,25%,21%,45%,29%,24%,52%,23%,53%,15%,31%,31%,29%,40%,26%,14%,32%,23%,30%,39%,35%,26%,34%,27%,31%,24%
Clinton,39%,34%,44%,31%,39%,43%,46%,35%,44%,36%,**,43%,47%,**,**,37%,37%,40%,43%,30%,37%,41%,42%,38%,40%,39%,6%,74%,29%,5%,11%,42%,69%,78%,0%,100%,27%,36%,48%,35%,37%,45%,38%,40%,41%,37%,40%,38%,39%,32%,42%,38%,42%,31%,41%,43%,24%,46%,18%,58%,33%,42%,40%,35%,41%,48%,38%,47%,38%,24%,32%,43%,29%,43%,37%,47%
Someone Else,8%,9%,8%,10%,8%,11%,5%,9%,8%,8%,**,9%,11%,**,**,5%,8%,9%,10%,8%,8%,7%,8%,8%,9%,9%,5%,7%,15%,1%,7%,12%,8%,5%,0%,0%,5%,9%,9%,6%,8%,11%,9%,8%,8%,8%,9%,8%,8%,8%,9%,7%,9%,8%,8%,8%,6%,9%,7%,8%,10%,10%,8%,8%,8%,10%,8%,6%,9%,10%,11%,8%,7%,9%,8%,10%
Did Not Vote,21%,20%,22%,32%,23%,13%,14%,28%,13%,20%,**,23%,23%,**,**,33%,26%,20%,10%,26%,18%,25%,29%,21%,14%,12%,12%,14%,36%,7%,21%,23%,17%,9%,0%,0%,40%,23%,12%,31%,22%,12%,29%,15%,19%,21%,21%,30%,20%,12%,18%,28%,25%,15%,20%,23%,16%,21%,21%,18%,24%,16%,21%,15%,22%,26%,20%,21%,21%,23%,21%,21%,26%,20%,21%,18%
Can't Remember,2%,2%,2%,5%,2%,1%,0%,4%,1%,1%,**,4%,2%,**,**,3%,3%,1%,1%,3%,1%,2%,2%,2%,1%,1%,1%,1%,2%,2%,1%,3%,1%,0%,0%,0%,6%,1%,1%,4%,2%,1%,3%,1%,2%,3%,2%,4%,2%,1%,3%,2%,3%,2%,3%,1%,2%,2%,1%,1%,2%,1%,2%,1%,2%,2%,2%,3%,1%,4%,1%,2%,3%,2%,3%,1%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Composition of Adults,100%,48%,52%,29%,24%,25%,23%,52%,48%,60%,4%,26%,7%,1%,1%,7%,29%,44%,18%,14%,28%,8%,25%,27%,28%,10%,29%,41%,21%,8%,20%,37%,20%,9%,29%,39%,20%,36%,44%,31%,33%,36%,37%,45%,18%,29%,71%,9%,91%,19%,27%,18%,35%,18%,29%,50%,21%,73%,23%,42%,30%,16%,81%,19%,80%,12%,86%,34%,53%,13%,25%,28%,23%,37%,23%,17%
