,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Regularly,1025,466,559,230,246,274,274,477,548,619,164,150,56,16,19,76,319,479,141,179,296,89,202,289,311,122,427,350,188,220,274,322,125,45,476,345,217,315,493,335,378,312,257,602,166,347,674,51,973,462,253,268,42,1025,0,0,574,416,570,155,268,142,869,225,795,69,948,283,470,272,211,260,141,208,461,215
Occasionally,1352,679,672,416,360,387,189,776,576,822,200,231,52,28,20,116,485,597,140,272,374,123,392,415,298,105,442,523,294,134,347,521,173,81,473,466,374,534,443,560,483,309,479,631,242,521,820,151,1200,399,417,370,166,0,1352,0,446,815,418,355,491,162,1152,255,1079,138,1183,407,630,315,327,302,246,283,542,281
Almost Never,2294,1131,1163,746,591,548,408,1337,957,1619,193,313,94,38,37,274,855,921,206,604,655,260,737,606,510,147,507,895,684,120,399,855,508,233,586,807,665,898,730,987,818,489,954,941,398,684,1598,215,2079,360,431,290,1214,0,0,2294,218,1959,358,1054,755,223,2029,393,1888,316,1939,657,1092,545,547,545,452,502,750,589
Not Sure,130,58,72,76,28,16,10,104,26,79,8,24,7,0,11,24,43,46,8,32,24,18,47,25,13,7,18,29,33,13,17,36,15,5,20,17,56,44,29,68,38,23,68,47,15,48,80,16,113,5,19,17,88,0,0,0,7,102,22,29,41,11,104,12,112,25,96,34,58,37,27,31,30,29,40,30
Total,4800,2334,2466,1468,1226,1224,882,2694,2106,3140,565,718,209,81,87,489,1702,2044,494,1087,1349,489,1378,1336,1133,381,1393,1797,1198,487,1037,1734,821,363,1555,1635,1312,1792,1696,1950,1717,1133,1759,2221,820,1600,3171,434,4366,1225,1120,945,1510,1025,1352,2294,1245,3293,1367,1594,1554,538,4155,885,3874,548,4166,1381,2250,1169,1112,1138,871,1021,1793,1115
Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,4%,2%,2%,10%,35%,43%,10%,23%,28%,10%,29%,28%,24%,8%,29%,37%,25%,10%,22%,36%,17%,8%,32%,34%,27%,37%,35%,41%,36%,24%,37%,46%,17%,33%,66%,9%,91%,26%,23%,20%,31%,21%,28%,48%,26%,69%,28%,33%,32%,11%,87%,18%,81%,11%,87%,29%,47%,24%,23%,24%,18%,21%,37%,23%
