,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Male,1112,1112,0,318,287,293,214,605,507,772,97,154,50,19,20,63,340,560,137,220,399,92,249,323,317,111,370,340,321,120,288,438,167,52,433,337,277,376,459,314,436,362,393,566,153,352,754,82,1030,267,319,184,342,211,327,547,252,822,335,328,392,135,954,237,868,89,999,0,1112,0,1112,0,200,240,412,260
Female,1138,0,1138,324,277,314,223,601,537,770,100,155,67,29,16,98,341,554,127,229,371,129,314,319,279,76,316,468,249,105,204,417,230,98,315,435,242,450,447,426,435,276,366,531,241,376,757,95,1043,326,268,208,336,260,302,545,261,805,298,445,344,94,1013,190,936,130,987,0,1138,0,0,1138,211,234,429,264
Total,4800,2334,2466,1468,1226,1224,882,2694,2106,3140,565,718,209,81,87,489,1702,2044,494,1087,1349,489,1378,1336,1133,381,1393,1797,1198,487,1037,1734,821,363,1555,1635,1312,1792,1696,1950,1717,1133,1759,2221,820,1600,3171,434,4366,1225,1120,945,1510,1025,1352,2294,1245,3293,1367,1594,1554,538,4155,885,3874,548,4166,1381,2250,1169,1112,1138,871,1021,1793,1115
Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,4%,2%,2%,10%,35%,43%,10%,23%,28%,10%,29%,28%,24%,8%,29%,37%,25%,10%,22%,36%,17%,8%,32%,34%,27%,37%,35%,41%,36%,24%,37%,46%,17%,33%,66%,9%,91%,26%,23%,20%,31%,21%,28%,48%,26%,69%,28%,33%,32%,11%,87%,18%,81%,11%,87%,29%,47%,24%,23%,24%,18%,21%,37%,23%
