,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
White,3140,1530,1609,828,746,873,693,1573,1566,3140,0,0,0,0,0,327,1087,1349,342,1087,1349,337,906,859,761,241,1108,936,841,364,749,1087,502,220,1266,890,868,1172,1100,1221,1133,785,970,1555,615,955,2172,207,2932,908,688,563,980,619,822,1619,788,2182,960,1057,989,342,2753,596,2526,326,2774,696,1542,902,772,770,603,813,1106,618
Black or African American,565,263,302,199,152,138,75,352,214,0,565,0,0,0,0,71,219,224,37,0,0,61,152,188,117,37,37,400,90,24,92,234,98,64,30,364,150,232,183,293,191,81,310,170,86,188,372,89,476,164,43,184,174,164,200,193,214,321,134,171,188,54,495,102,457,73,482,269,197,99,97,100,94,99,327,46
"Hispanic, Latino, or Mexican",718,362,356,300,220,131,66,520,197,0,0,718,0,0,0,60,272,302,76,0,0,61,214,216,135,75,157,329,165,73,121,278,154,54,153,265,224,262,231,310,249,159,316,326,76,325,386,106,611,86,316,105,211,150,231,313,157,517,173,237,257,93,595,119,586,111,585,306,309,102,154,155,105,61,263,288
Asian,209,93,116,77,66,39,27,142,67,0,0,0,209,0,0,6,53,119,29,0,0,11,36,46,88,17,52,81,55,10,46,82,42,14,50,78,37,41,130,46,88,75,93,109,7,72,135,11,198,41,45,47,76,56,52,94,45,155,49,73,70,31,171,28,179,15,187,75,118,17,50,67,40,23,42,104
Multiracial,81,36,46,28,26,20,7,54,28,0,0,0,0,81,0,10,35,32,2,0,0,8,37,10,20,4,17,27,29,2,17,32,13,6,26,24,15,46,20,34,33,14,33,36,12,30,52,10,71,19,14,15,34,16,28,38,17,63,21,29,31,14,65,23,58,16,61,18,48,16,19,29,9,17,30,26
Some other way,87,50,37,35,17,22,13,52,35,0,0,0,0,0,87,15,36,19,9,0,0,11,33,18,12,7,22,23,18,14,13,23,11,5,30,14,18,38,31,46,23,18,36,26,25,31,54,10,77,7,15,30,35,19,20,37,25,55,30,28,20,5,76,17,67,6,77,17,36,34,20,16,20,9,25,33
Total,4800,2334,2466,1468,1226,1224,882,2694,2106,3140,565,718,209,81,87,489,1702,2044,494,1087,1349,489,1378,1336,1133,381,1393,1797,1198,487,1037,1734,821,363,1555,1635,1312,1792,1696,1950,1717,1133,1759,2221,820,1600,3171,434,4366,1225,1120,945,1510,1025,1352,2294,1245,3293,1367,1594,1554,538,4155,885,3874,548,4166,1381,2250,1169,1112,1138,871,1021,1793,1115
Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,4%,2%,2%,10%,35%,43%,10%,23%,28%,10%,29%,28%,24%,8%,29%,37%,25%,10%,22%,36%,17%,8%,32%,34%,27%,37%,35%,41%,36%,24%,37%,46%,17%,33%,66%,9%,91%,26%,23%,20%,31%,21%,28%,48%,26%,69%,28%,33%,32%,11%,87%,18%,81%,11%,87%,29%,47%,24%,23%,24%,18%,21%,37%,23%
