All,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval:  ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Yes,538,290,248,153,141,143,102,294,245,342,54,93,31,14,5,24,184,261,64,113,166,55,128,149,146,53,144,232,124,54,102,223,95,42,182,222,144,178,216,115,223,201,173,303,63,198,336,37,501,154,155,107,122,142,162,223,155,352,153,183,183,538,0,137,399,75,450,177,229,133,135,94,142,121,130,145
No,4155,1991,2164,1241,1066,1071,777,2307,1848,2753,495,595,171,65,76,450,1488,1742,422,960,1167,425,1213,1166,969,320,1237,1534,1040,426,916,1483,710,314,1364,1394,1119,1580,1456,1778,1465,912,1515,1892,748,1373,2763,383,3772,1059,942,815,1340,869,1152,2029,1071,2884,1194,1385,1339,0,4155,719,3421,458,3646,1171,1967,1017,954,1013,712,886,1618,938
Not Sure,107,53,54,74,19,11,3,93,13,45,16,30,8,2,6,15,31,41,9,14,16,9,38,20,17,9,12,30,35,7,19,29,16,7,9,20,49,34,23,57,30,20,71,26,10,29,72,14,93,12,23,23,48,14,37,42,19,57,20,26,31,0,0,29,54,15,69,34,54,19,23,30,16,14,44,32
Total,4800,2334,2466,1468,1226,1224,882,2694,2106,3140,565,718,209,81,87,489,1702,2044,494,1087,1349,489,1378,1336,1133,381,1393,1797,1198,487,1037,1734,821,363,1555,1635,1312,1792,1696,1950,1717,1133,1759,2221,820,1600,3171,434,4366,1225,1120,945,1510,1025,1352,2294,1245,3293,1367,1594,1554,538,4155,885,3874,548,4166,1381,2250,1169,1112,1138,871,1021,1793,1115
Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,4%,2%,2%,10%,35%,43%,10%,23%,28%,10%,29%,28%,24%,8%,29%,37%,25%,10%,22%,36%,17%,8%,32%,34%,27%,37%,35%,41%,36%,24%,37%,46%,17%,33%,66%,9%,91%,26%,23%,20%,31%,21%,28%,48%,26%,69%,28%,33%,32%,11%,87%,18%,81%,11%,87%,29%,47%,24%,23%,24%,18%,21%,37%,23%
