,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Donald Trump ,1604,940,664,357,412,479,355,770,834,1283,39,169,53,29,31,109,548,731,205,442,581,134,354,451,473,183,1081,110,359,358,642,502,54,9,1333,62,400,607,596,504,610,489,402,920,282,541,1059,95,1508,551,414,309,329,479,480,623,603,933,781,263,518,195,1394,366,1230,102,1487,345,786,473,465,321,278,350,637,338
Elizabeth Warren,1900,820,1081,556,489,492,363,1045,855,1088,380,304,78,28,22,176,655,854,199,357,488,206,560,552,436,132,89,1373,376,47,151,718,607,311,66,1407,392,700,808,758,678,464,753,835,313,621,1271,180,1720,447,432,369,652,370,507,995,367,1468,242,985,599,234,1638,296,1593,291,1585,647,905,348,414,491,372,413,662,454
Undecided,347,161,186,101,82,96,68,182,164,213,51,50,19,12,1,44,118,147,32,65,97,33,120,90,74,18,73,112,132,8,73,194,35,8,69,95,73,132,142,147,123,76,136,147,63,102,243,27,320,89,78,56,123,57,106,175,79,245,83,97,138,29,304,65,281,28,313,86,187,74,82,105,60,81,115,91
Total,3850,1920,1930,1014,983,1068,786,1997,1854,2584,470,523,149,69,55,329,1321,1733,436,864,1166,373,1033,1093,983,334,1243,1595,867,413,866,1414,696,327,1468,1564,865,1439,1547,1410,1411,1029,1290,1902,658,1263,2574,302,3548,1088,924,734,1104,906,1094,1793,1048,2646,1106,1345,1255,459,3336,727,3104,420,3385,1077,1878,895,961,917,710,844,1413,883
Composition of Registered Voters,100%,50%,50%,26%,26%,28%,20%,52%,48%,67%,12%,14%,4%,2%,1%,9%,34%,45%,11%,22%,30%,10%,27%,28%,26%,9%,32%,41%,23%,11%,23%,37%,18%,8%,38%,41%,22%,37%,40%,37%,37%,27%,34%,49%,17%,33%,67%,8%,92%,28%,24%,19%,29%,24%,28%,47%,27%,69%,29%,35%,33%,12%,87%,19%,81%,11%,88%,28%,49%,23%,25%,24%,18%,22%,37%,23%
