,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Single,37,40,34,66,34,22,11,52,18,31,55,44,**,**,**,48,40,33,26,34,28,43,44,35,29,24,24,42,39,29,28,37,41,48,24,39,44,38,30,48,35,20,100,0,0,27,41,100,30,24,34,36,50,25,35,42,29,39,28,42,37,32,36,27,39,54,34,47,34,30,35,32,40,37,33,39
Married,46,46,46,30,52,52,58,40,54,50,30,45,**,**,**,27,41,52,63,44,56,37,35,48,57,64,57,42,43,53,54,46,44,38,58,45,39,42,56,28,51,71,0,100,0,61,39,0,51,55,52,45,36,59,47,41,53,44,54,42,46,56,46,56,44,35,48,40,49,49,51,47,44,46,49,45
No Longer Married,17,14,20,4,14,26,31,9,28,20,15,11,**,**,**,26,19,15,11,22,16,20,21,17,13,12,18,16,18,18,18,17,15,14,18,16,17,20,14,24,14,9,0,0,100,12,20,0,19,22,14,19,14,16,18,17,18,17,18,16,17,12,18,17,17,11,18,13,18,21,14,21,16,17,18,16
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Adults,100,49,51,31,26,26,18,56,44,65,12,15,4,2,2,10,35,43,10,23,28,10,29,28,24,8,29,37,25,10,22,36,17,8,32,34,27,37,35,41,36,24,37,46,17,33,66,9,91,26,23,20,31,21,28,48,26,69,28,33,32,11,87,18,81,11,87,29,47,24,23,24,18,21,37,23
