All,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval:  ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Relig,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Northeas,Midwest,South,West
Yes,1245,600,646,312,329,371,234,640,605,788,214,157,45,17,25,123,475,518,117,297,319,114,329,364,319,110,568,381,230,242,376,385,139,49,599,339,368,459,418,502,456,287,359,663,222,452,787,92,1154,679,147,302,117,574,446,218,1245,0,663,166,347,155,1071,258,978,101,1130,343,513,389,252,261,149,255,605,236
No,3293,1628,1664,1035,835,807,616,1870,1423,2182,321,517,155,63,55,333,1127,1430,355,721,968,342,962,908,773,254,754,1342,913,225,615,1236,662,310,879,1246,826,1240,1227,1313,1178,802,1290,1449,554,1034,2245,305,2988,501,921,574,1297,416,815,1959,0,3293,639,1373,1107,352,2884,571,2697,415,2823,970,1628,695,822,805,689,705,1072,826
Not Sure,262,106,156,121,62,46,32,184,78,169,30,44,9,2,7,33,101,96,23,69,62,33,88,63,41,17,71,74,55,19,46,114,20,4,77,50,118,93,51,135,82,45,109,109,44,115,139,38,224,45,52,68,96,34,91,117,0,0,65,55,100,31,200,56,199,32,214,68,110,85,38,72,32,62,115,53
Total,4800,2334,2466,1468,1226,1224,882,2694,2106,3140,565,718,209,81,87,489,1702,2044,494,1087,1349,489,1378,1336,1133,381,1393,1797,1198,487,1037,1734,821,363,1555,1635,1312,1792,1696,1950,1717,1133,1759,2221,820,1600,3171,434,4366,1225,1120,945,1510,1025,1352,2294,1245,3293,1367,1594,1554,538,4155,885,3874,548,4166,1381,2250,1169,1112,1138,871,1021,1793,1115
Composition of Adults,100%,49%,51%,31%,26%,26%,18%,56%,44%,65%,12%,15%,4%,2%,2%,10%,35%,43%,10%,23%,28%,10%,29%,28%,24%,8%,29%,37%,25%,10%,22%,36%,17%,8%,32%,34%,27%,37%,35%,41%,36%,24%,37%,46%,17%,33%,66%,9%,91%,26%,23%,20%,31%,21%,28%,48%,26%,69%,28%,33%,32%,11%,87%,18%,81%,11%,87%,29%,47%,24%,23%,24%,18%,21%,37%,23%
