,All,Gender,Gender,Age,Age,Age,Age,<50/50+,<50/50+,Race,Race,Race,Race,Race,Race,Class,Class,Class,Class,White X Class,White X Class,Paycheck,Paycheck,Paycheck,Paycheck,Paycheck,Party Affiliation,Party Affiliation,Party Affiliation,Ideology,Ideology,Ideology,Ideology,Ideology,2016 Vote,2016 Vote,Education,Education,Education,Income,Income,Income,Marital Status,Marital Status,Marital Status,Child < 18,Child < 18,Single Parent,Single Parent,Religion,Religion,Religion,Religion,Attend Religious Service,Attend Religious Service,Attend Religious Service,Evangelical,Evangelical,Aborition,Abortion,Abortion,Union HH,Union HH,Military HH,Military HH,LGBTQ HH,LGBTQ HH,Urbanicity,Urbanicity,Urbanicity,Suburban,Suburban,Region,Region,Region,Region
Credibility Interval: ± ,All,Male,Female,18-34,35-49,50-64,65+,18-49,50+,White,Black,Hispanic,Asian,Multirac,Other,Poor,Working,MC,Upper-MC,Working,Middle,Falling,Getting ,Ends Mee,Rainy Da,Prosperi,Republic,Democrat,Independ,Very Con,Conserva,Moderate,Liberal,Very Lib,Trump,Clinton,High Sch,Some Col,4-year C,< $40K,$40K - $,> $80K,Single,Married,No Longe,Yes,No,Yes,No,Protesta,Catholic,Other,No Organ,Regularl,Occasion,Almost N,Yes,No,Strongly,Strongly,In The M,Yes,No,Yes,No,Yes,No,Urban,Suburban,Rural,Male,Female,Central ,Greater ,Inland E,Bay Area
Yes,82,82,82,73,80,88,89,76,88,85,**,77,80,**,**,67,79,84,92,81,87,78,75,83,90,89,91,90,71,90,83,82,85,93,95,96,61,82,91,72,82,91,76,86,83,81,82,76,83,90,83,77,80,86,82,82,85,83,84,86,79,86,83,88,81,76,83,82,83,76,82,84,75,83,85,85
No,16,16,16,23,18,10,9,21,10,14,**,19,18,**,**,29,19,13,8,17,12,21,23,14,9,10,9,9,24,9,16,16,13,6,4,3,34,15,8,25,14,8,21,12,13,16,16,20,15,9,15,19,18,13,14,16,13,15,15,12,17,12,16,9,17,20,15,16,14,20,14,14,23,14,13,13
Not Sure,2,3,2,4,2,2,2,3,2,2,**,4,1,**,**,4,2,2,1,2,1,2,2,2,1,1,1,1,4,1,1,2,2,1,1,1,5,2,2,3,3,1,3,1,5,3,2,5,2,1,2,4,2,1,4,1,2,1,1,1,3,2,1,4,2,4,2,2,2,4,3,2,2,3,3,2
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Composition of Adults,100,48,52,29,24,25,23,52,48,60,4,26,7,1,1,7,29,44,18,14,28,8,25,27,28,10,29,41,21,8,20,37,20,9,29,39,20,36,44,31,33,36,37,45,18,29,71,9,91,19,27,18,35,18,29,50,21,73,23,42,30,16,81,19,80,12,86,34,53,13,25,28,23,37,23,17
